judul,teks,link-href,label
Penyelenggaraan Pemerintahan yang Tidak Transparan: Ciri dan Dampaknya,Penyelenggaraan pemerintahan yang tidak transparan punya dampak yang serius. Seperti apa ciri penyelenggaraan tersebut? Jakarta - Keterbukaan atau transparansi adalah tindakan yang memungkinkan suatu persoalan menjadi jelas mudah dipahami dan tidak disangsikan lagi kebenarannya.Dalam penyelenggaraan pemerintahan istilah ini memiliki arti sebagai kesediaan pemerintah untuk memberikan informasi faktual mengenai hal-hal yang berkenaan dengan proses penyelenggaraan pemerintahan.Kamu pernah dengar di media massa soal kepala daerah ditangkap Komisi Pemberantasan Korupsi? Nah permasalahan-permasalahan korupsi kolusi dan nepotisme (KKN) tersebut adalah dampak dari penyelenggaraan pemerintahan yang tidak transparan. Baca artikel detikedu,https://oto.detik.com/berita/d-6349311/bocoran-mobil-listrik-yang-bakal-jadi-kendaraan-dinas-pemerintah,1
Bocoran Mobil Listrik yang Bakal Jadi Kendaraan Dinas Pemerintah,"Kira-kira mobil listrik apa, ya, yang bakal jadi kendaraan dinas pemerintah?",https://www.detik.com/edu/detikpedia/d-6338406/sosialisasi-politik-definisi-cara-kerja-dan-sarana-penyampaiannya,1
"Sosialisasi Politik: Definisi, Cara Kerja, dan Sarana Penyampaiannya",Sosialisasi politik tentunya sangat penting dalam kehidupan sosial. Kenali pengertian hingga cara kerjanya.,https://www.detik.com/edu/detikpedia/d-6329307/kekuasaan-kongsi-dagang-voc-di-indonesia-punya-pemerintahan-sendiri,1
"Kekuasaan Kongsi Dagang VOC di Indonesia, Punya Pemerintahan Sendiri",Hak oktroi VOC memungkinkan kekuasaan kongsi dagang VOC memiliki pemerintahan sendiri. Berikut sejumlah kekuasaan VOC di Indonesia.,https://news.detik.com/berita/d-6323915/mahfud-posting-foto-hitam-putih-pemerintah-sesalkan-tragedi-kanjuruhan,1
Mahfud Posting Foto Hitam Putih: Pemerintah Sesalkan Tragedi Kanjuruhan,Menko Polhukam Mahfud Md menyampaikan sikap pemerintah atas tragedi Kanjuruhan Malang yang menewaskan 127 orang. Pemerintah menyesalkan tragedi Kanjuruhan.,https://finance.detik.com/detiktv/d-6319824/luhut-minta-pemerintahan-bumn-tak-pakai-produk-impor-untuk-goodie-bag,1
Luhut Minta Pemerintahan-BUMN Tak Pakai Produk Impor untuk Goodie Bag,"Menko Marves Luhut Binsar Pandjaitan meminta kementerian/lembaga, BUMN, hingga pemerintah daerah (pemda) setop impor goodie bag untuk acara-acara yang digelar.",https://news.detik.com/berita/d-6319238/jokowi-di-depan-menteri-hingga-gubernur-pusat-dan-daerah-harus-kompak,1
Jokowi di Depan Menteri hingga Gubernur: Pusat dan Daerah Harus Kompak!,"Jokowi memperingatkan para kepala daerah akan gelapnya situasi ekonomi tahun depan. Ada momok menakutkan. Untuk menghadapi momok itu, semua harus bersatu.",https://www.detik.com/edu/detikpedia/d-6316932/uu-perlindungan-data-pribadi-disetujui-pakar-ugm-beri-saran-ini,1
"UU Perlindungan Data Pribadi Disetujui, Pakar UGM Beri Saran Ini",UU PDP telah disetujui DPR dan Presiden Jokowi. UU ini diharapkan bisa menjadi tameng untuk mencegah kebocoran data.,https://news.detik.com/berita/d-6287039/beda-pernyataan-pejabat-pemerintah-soal-kebocoran-data-negara,1
Beda Pernyataan Pejabat Pemerintah soal Kebocoran Data Negara,Isu kebocoran data pemerintah menjadi pembicaraan serius dalam beberapa hari terakhir usai kemunculan hacker Bjorka.,https://www.detik.com/edu/detikpedia/d-6286407/begini-mekanisme-pembagian-kekuasaan-yang-dilaksanakan-di-indonesia,1
"Viral Video Ba'asyir Sebut Pemerintah Tagut, Keluarga Beri Penjelasan",Sejarah Bandung Lautan Api dimulai ketika dikeluarkannya ultimatum dari Sekutu yang diboncengi NICA untuk rakyat Bandung. Berikut informasi selengkapnya.,https://www.detik.com/edu/sekolah/d-6245857/pendataan-kjp-plus-tahap-2-dibuka-siswa-sudah-terdaftar,1
Sejarah Bandung Lautan Api: Latar Belakang dan Kronologinya,Pemerintah kembali membuka pendaftaran KJP Plus melalui tahap 2. Berikut sejumlah infonya.,https://www.detik.com/edu/detikpedia/d-6244543/unit-pelaksana-teknis-upt-pengertian-fungsi-dan-tugas,1
"Pendataan KJP Plus Tahap 2 Dibuka, Siswa Sudah Terdaftar?",UPT memiliki tugas teknis operasional tertentu dan/atau tugas teknis penunjang tertentu. Apa fungsi UPT sebenarnya?,https://finance.detik.com/detiktv/d-6238318/jokowi-usul-anggaran-rp-3000-t-tahun-2023-buat-apa-saja,1
"Unit Pelaksana Teknis (UPT): Pengertian, Fungsi, dan Tugas","Presiden Jokowi mengusulkan RAPBN 2023 sebesar Rp 3.041,7. Meliputi belanja pemerintah pusat sebesar Rp 2.230 triliun dan transfer daerah Rp 811,7 triliun.",https://www.detik.com/edu/detikpedia/d-6212985/klasifikasi-kementerian-negara-republik-indonesia-yang-perlu-siswa-tahu,1
"Jokowi Usul Anggaran Rp 3.000 T Tahun 2023, Buat Apa Saja?","Dalam menjalankan tugasnya, Presiden dibantu oleh para menteri. Mereka diklasifikasikan ke dalam beberapa kementerian.",https://www.detik.com/edu/sekolah/d-6212862/5-kesalahpahaman-dalam-implementasi-kurikulum-merdeka-catat-ya,1
Klasifikasi Kementerian Negara Republik Indonesia yang Perlu Siswa Tahu!,Ada 5 miskonsepsi atau kesalahpahaman yang sering dijumpai dalam implementasi Kurikulum Merdeka. Apa saja?,https://news.detik.com/detiktv/d-6207853/pemerintah-dpr-didesak-segera-kucurkan-dana-pemilu,1
